TipoAtivo,Ativo,PerfilRisco,Percentual
FII,HGLG11,Conservador,15
FII,KNRI11,Conservador,15
FII,XPML11,Conservador,20
FII,MXRF11,Conservador,25
FII,PVBI11,Conservador,25
FII,HGLG11,Moderado,10
FII,KNRI11,Moderado,15
FII,XPML11,Moderado,15
FII,MXRF11,Moderado,20
FII,PVBI11,Moderado,15
FII,VISC11,Moderado,15
FII,BTLG11,Moderado,10
FII,HGLG11,Agressivo,8
FII,KNRI11,Agressivo,7
FII,XPML11,Agressivo,10
FII,MXRF11,Agressivo,15
FII,PVBI11,Agressivo,10
FII,VISC11,Agressivo,15
FII,BTLG11,Agressivo,15
FII,KNCR11,Agressivo,10
FII,VILG11,Agressivo,10
